,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/-d-i-g-dining-in-garden-2833,(D.I.G) Dining In Garden,3.9 Stars,"['Ang Mo Kio Library, 4300 Ang Mo Kio Avenue 6, Singapore 569842']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese']"
1,https://eatigo.com/sg/singapore/en/r/1001-of-arabia-5001899,1001 of Arabia,3.9 Stars,['23 Baghdad Street Singapore 199662'],['WiFi'],"['Master Card', 'Visa', 'NETS']",['Casual Dining'],['English']
2,https://eatigo.com/sg/singapore/en/r/1864-sofitel-singapore-city-centre-3411,1864 @ Sofitel Singapore City Centre,4.4 Stars,"['9 Wallich Street, Singapore  078885']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['American Express', 'Master Card', 'Visa', 'Wallet']","['After Work Drinks', 'Private Functions']","['English', 'Malay', 'Tamil', 'Chinese']"
3,https://eatigo.com/sg/singapore/en/r/1927-so-sofitel-5004571,1927 @ SO Sofitel,4 Stars,"['35 Robinson Road, Singapore 068876']","['Dance Floor', 'WiFi', 'parking (chargeable)', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa']","['After Work Drinks', 'City View', 'Al Fresco']",['English']
4,https://eatigo.com/sg/singapore/en/r/2211-mookata-5005941,2211 Mookata,4 Stars,"['Block 907 Jurong West Street 91, Singapore 640907']","['parking (chargeable)', 'Wheelchair Access']",['Cash Only'],"['Casual Dining', 'Family Friendly']","['English', 'Chinese']"
5,https://eatigo.com/sg/singapore/en/r/2six-cafe-3427,2six Cafe,4.1 Stars,['88 East Coast Road #01-10 Katong Square Singapore 423371'],"['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa']","['Casual Dining', 'Family Friendly', 'Kids Friendly']","['English', 'Chinese']"
6,https://eatigo.com/sg/singapore/en/r/3-drunkmen-5006607,3 Drunkmen,4 Stars,"['39 Robinson Road, #01-01, Singapore 068911']","['Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Large Parties (>12)']","['English', 'Tagalog', 'Chinese']"
7,https://eatigo.com/sg/singapore/en/r/4-u-bar-kitchen-5004059,4+U Bar+Kitchen,3.9 Stars,"['4 Kim Tian Road Singapore, 169245']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'UnionPay']","['Casual Dining', 'After Work Drinks', 'Family Friendly', 'Private Functions', 'All day dining']","['English', 'Chinese']"
8,https://eatigo.com/sg/singapore/en/r/7-tavern-goldhill-plaza-5005266,7 Tavern @ Goldhill Plaza,4.2 Stars,"['1 Goldhill Plaza, Goldhill Plaza, #01-15 , Singapore 308899']","['Live Band', 'WiFi', 'Air Conditioning']","['Master Card', 'Visa', 'Cash Only']","['Casual Dining', 'After Work Drinks']","['English', 'Chinese']"
9,https://eatigo.com/sg/singapore/en/r/79-after-dark-5004332,79 After Dark,4.4 Stars,['79 Circular Road #01-01 Singapore 049433'],['Air Conditioning'],"['American Express', 'Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Large Parties (>12)']",['English']
