,link,name,rating,address,services,payment,atmosphere,spoken_lang
0,https://eatigo.com/sg/singapore/en/r/colonial-gastrobar-5007650,Colonial Gastrobar,4 Stars,"['180 Albert Street, Village Hotel Albert Court, #01-09, Singapore 189971']","['Accept Credit Cards', 'Live Band']","['American Express', 'Master Card', 'Visa', 'Diners']","['Casual Dining', 'After Work Drinks']","['English', 'Chinese']"
1,https://eatigo.com/sg/singapore/en/r/come-n-joy-nolreowa-2156,Come N Joy 놀러와,3.4 Stars,"['9 Raffles Boulevard, #01-26, Singapore 039596']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['Master Card', 'Visa']","['Casual Dining', 'Business Meetings', 'Family Friendly']",['English']
2,https://eatigo.com/sg/singapore/en/r/coq-balls-2256,Coq & Balls,4.5 Stars,"['6 Kim Tian Road, Kai Fook Mansion, Singapore 169246']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks']",['English']
3,https://eatigo.com/sg/singapore/en/r/courtyard-cafe-5000620,Courtyard Cafe,4.5 Stars,"['National Gallery, Supreme Court Wing, #01-02A (Cafe),  Singapore 178880']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Family Friendly']","['English', 'Chinese']"
4,https://eatigo.com/sg/singapore/en/r/crossroads-cafe-singapore-marriott-tang-plaza-hotel-3255,Crossroads Café @ Singapore Marriott Tang Plaza Hotel,3.9 Stars,"['320 Orchard Road, Singapore Marriott Tang Plaza Hotel  Singapore 238865']","['parking (chargeable)', 'Air Conditioning', 'Wheelchair Access']","['American Express', 'Master Card', 'Visa', 'Diners', 'Wallet']","['Casual Dining', 'Family Friendly', 'Al Fresco']","['English', 'Chinese']"
5,https://eatigo.com/sg/singapore/en/r/curry-bowl-5006772,Curry Bowl,3.9 Stars,"['30 Race Course Lane #01-02,03, Singapore 218745']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Business Meetings', 'Romantic Dates', 'Family Friendly', 'Fine Dining', 'Large Parties (>12)', 'Private Functions', 'Kids Friendly']","['English', 'Hindi', 'Tamil']"
6,https://eatigo.com/sg/singapore/en/r/curry-nations-5002634,Curry Nations,4.7 Stars,"['21 Biopolis Road #01-05, Nucleos']","['parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Kids Friendly']",['English']
7,https://eatigo.com/sg/singapore/en/r/d-bar-aranda-country-club-5001582,D'Bar @ Aranda Country Club,4.2 Stars,"['Aranda Country Club, 60 Pasir Ris Drive 3']","['Live Band', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'After Work Drinks', 'Family Friendly']","['English', 'Chinese (Simplified)']"
8,https://eatigo.com/sg/singapore/en/r/d-star-bistro-5003931,D'Star Bistro,3.7 Stars,"['8 Somapah Road, #01-102 SUTD, Singapore 487372']","['WiFi', 'parking (chargeable)', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Quiet Dinner', 'Kids Friendly']",['English']
9,https://eatigo.com/sg/singapore/en/r/d-i-g-dining-in-garden-bishan-library-5001302,D.I.G Dining In Garden @ Bishan Library,3.8 Stars,"['5 Bishan Place, #01-02, ']","['parking (chargeable)', 'Halal Certified Restaurant', 'Air Conditioning']","['Master Card', 'Visa', 'NETS']","['Casual Dining', 'Family Friendly', 'Quiet Dinner']","['English', 'Chinese']"
